"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2023","240,500.00","240,500.00","243,000.00","238,000.00","","-2.83%"
"08/14/2023","247,500.00","247,500.00","250,000.00","245,000.00","","-2.75%"
"08/11/2023","254,500.00","254,500.00","257,000.00","252,000.00","","0.00%"
"08/10/2023","254,500.00","254,500.00","257,000.00","252,000.00","","0.00%"
"08/09/2023","254,500.00","254,500.00","257,000.00","252,000.00","","-1.93%"
"08/08/2023","259,500.00","259,500.00","262,000.00","257,000.00","","-1.89%"
"08/07/2023","264,500.00","264,500.00","267,000.00","262,000.00","","0.00%"
"08/04/2023","264,500.00","264,500.00","267,000.00","262,000.00","","0.00%"
"08/03/2023","264,500.00","264,500.00","267,000.00","262,000.00","","0.00%"
"08/02/2023","264,500.00","264,500.00","267,000.00","262,000.00","","0.00%"
"08/01/2023","264,500.00","264,500.00","267,000.00","262,000.00","","0.00%"
"07/31/2023","264,500.00","264,500.00","267,000.00","262,000.00","","-1.86%"
"07/28/2023","269,500.00","269,500.00","272,000.00","267,000.00","","-2.88%"
"07/27/2023","277,500.00","277,500.00","280,000.00","275,000.00","","-1.77%"
"07/26/2023","282,500.00","282,500.00","285,000.00","280,000.00","","-1.74%"
"07/25/2023","287,500.00","287,500.00","290,000.00","285,000.00","","-2.38%"
"07/24/2023","294,500.00","294,500.00","297,000.00","292,000.00","","0.00%"
"07/21/2023","294,500.00","294,500.00","297,000.00","292,000.00","","-1.67%"
"07/20/2023","299,500.00","299,500.00","302,000.00","297,000.00","","0.00%"
"07/19/2023","299,500.00","299,500.00","302,000.00","297,000.00","","0.00%"
"07/18/2023","299,500.00","299,500.00","302,000.00","297,000.00","","-2.60%"
"07/17/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
"07/14/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
"07/13/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
"07/12/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
"07/11/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
"07/10/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
